,strike_0.8_maturity_30,strike_0.8_maturity_60,strike_0.8_maturity_90,strike_0.8_maturity_120,strike_0.8_maturity_150,strike_0.8_maturity_180,strike_0.8_maturity_360,strike_0.85_maturity_30,strike_0.85_maturity_60,strike_0.85_maturity_90,strike_0.85_maturity_120,strike_0.85_maturity_150,strike_0.85_maturity_180,strike_0.85_maturity_360,strike_0.9_maturity_30,strike_0.9_maturity_60,strike_0.9_maturity_90,strike_0.9_maturity_120,strike_0.9_maturity_150,strike_0.9_maturity_180,strike_0.9_maturity_360,strike_0.95_maturity_30,strike_0.95_maturity_60,strike_0.95_maturity_90,strike_0.95_maturity_120,strike_0.95_maturity_150,strike_0.95_maturity_180,strike_0.95_maturity_360,strike_1.0_maturity_30,strike_1.0_maturity_60,strike_1.0_maturity_90,strike_1.0_maturity_120,strike_1.0_maturity_150,strike_1.0_maturity_180,strike_1.0_maturity_360,strike_1.05_maturity_30,strike_1.05_maturity_60,strike_1.05_maturity_90,strike_1.05_maturity_120,strike_1.05_maturity_150,strike_1.05_maturity_180,strike_1.05_maturity_360,strike_1.1_maturity_30,strike_1.1_maturity_60,strike_1.1_maturity_90,strike_1.1_maturity_120,strike_1.1_maturity_150,strike_1.1_maturity_180,strike_1.1_maturity_360,strike_1.15_maturity_30,strike_1.15_maturity_60,strike_1.15_maturity_90,strike_1.15_maturity_120,strike_1.15_maturity_150,strike_1.15_maturity_180,strike_1.15_maturity_360,strike_1.2_maturity_30,strike_1.2_maturity_60,strike_1.2_maturity_90,strike_1.2_maturity_120,strike_1.2_maturity_150,strike_1.2_maturity_180,strike_1.2_maturity_360
2015-11-02,0.24412988573065966,0.2422225280130706,0.24181847848938723,0.24006723759721174,0.24006124667950735,0.24026660309072426,0.24249863739560001,0.2337943147220961,0.2323220679358915,0.23208089197425946,0.23126498381555963,0.23186508615875343,0.23228593437608705,0.23777780141838545,0.22380499250091862,0.22303960151697644,0.2229037044808175,0.22291575342870248,0.22390262247027312,0.2254187382780543,0.23295974961535595,0.21415321755594424,0.21446540705047176,0.21395479241748727,0.2149026009774329,0.2164973362834207,0.21860610915637133,0.2287844890482442,0.20353935739606255,0.20565547961036112,0.20402312697507202,0.20422146191794355,0.20486611037061725,0.2052188316792234,0.21108231214595966,0.19613085212678436,0.19685245963479003,0.19421007062791198,0.19350932836332282,0.19227640726662654,0.19115273607810476,0.1936607889208077,0.19282461149552702,0.19184032223694886,0.18859851348767454,0.1880876829782458,0.18698375554028981,0.18623167203194968,0.19046648838393704,0.18974013156514094,0.1886069869194387,0.18486944615494752,0.1841567074060362,0.18304579378107752,0.1823770477732824,0.18739302452938011,0.1864314305486171,0.1856758474692125,0.1822966453450859,0.18139005739698072,0.1804105926880248,0.17949865161785272,0.18452093518403684
2015-11-03,0.23304008143913235,0.23362296193114218,0.23368665079028747,0.23289823730084064,0.23365304952834645,0.23494874100308788,0.246593620546133,0.22502675590386537,0.22542840709398754,0.22554172846019999,0.22543089114948028,0.22661068195080647,0.22799865458796703,0.24229415882710215,0.21757622120672418,0.2176923002842444,0.2179048384413423,0.21838108696820813,0.2196283266242082,0.22199124551449972,0.2379687947632959,0.21041716554551793,0.2104972135376995,0.21041578132132627,0.2115923973038538,0.21306760756055892,0.21586566150487319,0.23407352604994755,0.2031085892849428,0.20357964487972777,0.2030841069429278,0.20379437722882404,0.20482554271157885,0.20642224618699828,0.222080543596054,0.20154450202857632,0.19687217508220797,0.19616374673128686,0.19601876077518995,0.19643428786316644,0.19667497775047718,0.20937890087468433,0.1975730890243018,0.19239921053893125,0.19118286384638125,0.19116803567666601,0.19164309525113815,0.1920741948986416,0.20601913618841236,0.1936694385013401,0.18918000860020198,0.18763684364275487,0.18746035769452354,0.18786150292613527,0.18825708937290608,0.2027929694262044,0.18912753492508808,0.18618985028964433,0.18498656591888454,0.18471632070085123,0.18520658510079546,0.18535793430612474,0.19984930021376238
2015-11-04,0.2648561851417411,0.26459169478286904,0.26436950461032166,0.26230683460528076,0.2621281060337479,0.26281831981611103,0.26097220381471087,0.2523408148784371,0.252312700735601,0.2523042079377889,0.2516365381714454,0.25224620813030546,0.2530864946219429,0.2554889159357576,0.2408419244069496,0.24081187948195434,0.24091559691504663,0.2413637271955105,0.24276368274507118,0.2448812756503996,0.24983344409839203,0.22984445247693178,0.23019358503632595,0.22993796951650977,0.23153943735541457,0.23396468392901906,0.2369473832696469,0.2450473369047791,0.21760487246319776,0.21831040174183647,0.21610964470598285,0.21587568604300778,0.21601515983303915,0.21513846270103884,0.21676685573211088,0.2139080866444204,0.20558491112716687,0.20104308763134662,0.1984422742926894,0.19495994395792987,0.19139961460327623,0.1881745107673146,0.20905614434846861,0.19982582526019602,0.19459658365080335,0.19221237102180827,0.18913659158202242,0.18602842941136336,0.1852113682058439,0.2056240462308653,0.19655396904462558,0.1905424310398156,0.18803888372540284,0.18514036974653134,0.18229918874846557,0.18221840611861653,0.20076543435198055,0.1936682142076552,0.18799507772803295,0.18526847423289888,0.18265563125882986,0.17955648194144236,0.17932718194319536
2015-11-05,0.2292513816497975,0.2289891800469606,0.22813861283337072,0.2273899637330433,0.22730659057866817,0.2286946239007053,0.23602157167648027,0.22434067251971693,0.22385661115245817,0.2229633785837787,0.22227823092078966,0.22223527094853188,0.223712414653736,0.23237077752269872,0.21994087557274336,0.2193270288400618,0.21843240797878602,0.21750349390503262,0.21740722117788416,0.2189895170251693,0.22866053712135456,0.2159266153691533,0.21518750340305773,0.21418060518079118,0.2131728979978786,0.21266183947279743,0.2142067463993584,0.22549258137218658,0.21365605485509484,0.21358663505356582,0.21407277496478566,0.2139813834353528,0.2130167244656019,0.2129362233119882,0.21228884223323646,0.2167428068963638,0.2125362898556903,0.21427554818261527,0.2151192642282577,0.21504183698014046,0.21317809941492602,0.2030752823069439,0.21181561946842292,0.2090641114433728,0.2106549805462468,0.2113811987877131,0.21114788447681435,0.20923384773518652,0.20030190894859515,0.20703469717122042,0.2051475200424049,0.20696496173193998,0.20773489701237782,0.20742346485654056,0.2054198493743774,0.1979877402145668,0.2025611876210365,0.2015114153066836,0.2034238086829609,0.2042210440850075,0.20400297434107825,0.20240925767327714,0.19589591853655758
2015-11-06,0.24173001059311716,0.24379761316966775,0.2435450837786611,0.24393559946575574,0.2445459680262717,0.24646206131234796,0.26123621170228634,0.23951048390222854,0.24090558873914683,0.2404374883090455,0.2404940800991639,0.24093076174849712,0.24298237135963882,0.25794590759375496,0.23828607599714247,0.23857753936645723,0.23794881328254558,0.2372964960537912,0.2374898422218403,0.2392369082152142,0.25460030325139854,0.237643969759654,0.23650563537076175,0.2358606998515142,0.23460274347715215,0.23381097118064836,0.2354221234124634,0.25162816391506965,0.24049814770173467,0.23808655667491202,0.23992703288412812,0.2402410084375898,0.23887057163613928,0.23960719436311823,0.2456115063544713,0.25234295355644054,0.24084261875813268,0.2448919159133132,0.24700220792672598,0.24774022999312864,0.24739836653024808,0.2450574834601052,0.24546227737122536,0.2378390115372691,0.24209570118921592,0.24396517955956687,0.24430725057247896,0.24384294932374487,0.24181004784333998,0.2390921731922307,0.23321076652804482,0.23809852805472856,0.24009690042007972,0.24043142052122818,0.23982014527931722,0.23926905184849875,0.23288568343848476,0.22888799171287133,0.23370975747044487,0.23586080218372943,0.23627054498573494,0.2363214223579721,0.23691745335565786
2015-11-09,0.23151515025596128,0.2317201962855417,0.23203077970414346,0.22922583448378236,0.22938591302361727,0.22743051646260284,0.2216077953814101,0.219176705352755,0.21960093350258184,0.21996074509954114,0.21868525611822343,0.21987987931921973,0.21827221303660338,0.21650863613450663,0.20807481018459553,0.20804567886404124,0.2083514416673338,0.208755635185719,0.21034087277835614,0.2108257274503406,0.21141264034687995,0.1972195205468911,0.1974385577919166,0.19701387351067845,0.19912556972253198,0.2017158173518868,0.20334550855228287,0.20684130138169146,0.18462983469765804,0.1849009179152724,0.1816392829563848,0.182132779386246,0.18296777492626942,0.1839095641349026,0.19571465199527233,0.18461614815249286,0.17275989431259764,0.1672800719871293,0.1657986398621698,0.16367885564801263,0.164287211266519,0.18121140977726524,0.18107849543705457,0.16766849710032897,0.16128153880034224,0.1602541801666532,0.1583074024427385,0.1594740323793778,0.17749360252952764,0.1786645488801487,0.16570537706622993,0.15840936004592585,0.1569515327472558,0.1550319806586915,0.15624604511928,0.1738148997533984,0.17413633661529232,0.1640498123713543,0.15732410826028312,0.15554089651015965,0.153770549557791,0.15416266830368924,0.17046963772685692
2015-11-10,0.23799902194477462,0.2420931479593208,0.2421428589301279,0.2416888759351065,0.24255160851286933,0.2473530341630914,0.264733344954675,0.22830992006831685,0.23142950800533954,0.23167778743189915,0.23241056677965924,0.23369150014279388,0.2380899437097317,0.2597035849387042,0.21990356334650324,0.22144095362995078,0.22206616835508777,0.22351001846882126,0.22515897999533555,0.2305521923115279,0.25459959504859103,0.21203933016550988,0.21215544144052045,0.21275528625668555,0.2149761180461951,0.21726891433678566,0.223035457958122,0.2502294691972559,0.20403150303095216,0.20233256630174826,0.20246344462169794,0.20263841469861377,0.2035728814095148,0.20381321737413832,0.21644038236921276,0.20824473511786729,0.1910381138962001,0.1900150424180986,0.18670355522682025,0.18564506960900012,0.1810814725629886,0.18102473125268492,0.2022682918064966,0.18607102024040997,0.18445441332093337,0.1811687688865406,0.18073034388757359,0.17609144869523974,0.17877792719415073,0.1974141088669598,0.182909872310712,0.18064513319289432,0.17750101121527798,0.17710793612618622,0.17262008448913557,0.17626296724324475,0.19020947432441823,0.1799623134072733,0.17794905952777632,0.1748044856345631,0.17470450925417805,0.1701174204810497,0.17393813910289457
2015-11-11,0.28186714647973926,0.2865629338826558,0.28774987735429725,0.2871112533989661,0.2886785548045125,0.2939182513181796,0.31247586221824086,0.2658273987342218,0.26978548062211893,0.27136898771358564,0.2730051580827649,0.2755826061360756,0.2804296015558509,0.30571339437032596,0.251461889333612,0.2539131083969411,0.2559529536431923,0.25934655877714374,0.2629883378184735,0.2697420151570616,0.29873985559183436,0.2378998540026219,0.2392571891985634,0.24107614165372307,0.2460897177661267,0.25151822702324933,0.2594111573323056,0.29271437517872106,0.22189678164638735,0.2212043623832983,0.21980284106875445,0.2203005012994233,0.22284560897326697,0.223358682302572,0.24626997873042603,0.21760804611104156,0.20122729439254794,0.19626975559919896,0.1910905280394412,0.1883402632047821,0.18363264383081612,0.19555393429740364,0.21174305984969843,0.19428109109475775,0.18849674040768855,0.18360833841725188,0.18181820310175115,0.1774560702836402,0.1928018285583902,0.2076536889792492,0.19109088581574096,0.18401323821910018,0.17916301251467856,0.1776137954189022,0.17367028503588355,0.18940284938175167,0.20032407280869272,0.1881935238944757,0.18149644496490153,0.17648326891468463,0.17532774353303568,0.17086414198855226,0.18606411032708317
2015-11-12,0.23015998689635153,0.23481282008995571,0.23570915482941854,0.23468588561183037,0.2360936948514665,0.23885344970903968,0.2533667306859326,0.21861201290461527,0.22235512217161477,0.22337584692753923,0.22396845017846922,0.2261770377731301,0.22871614865553036,0.24801946172784248,0.2086130104794795,0.21045676371057,0.2117290834020265,0.2137940336619718,0.21629410197254037,0.22074623683676178,0.24269391552912173,0.19901724260875353,0.19945527828462895,0.20034014347694426,0.20387107888624922,0.20735885653014707,0.21267320242509327,0.23787271478171648,0.18810011410922498,0.18643690287976827,0.18518872957399016,0.18606054946726674,0.1880536144729408,0.18984848852137476,0.21489535697850762,0.19214830119536033,0.172751728332934,0.1695545617754856,0.16658921676806887,0.16589477850007503,0.16466372255805947,0.1855000304061801,0.18716934679380945,0.1675641656787977,0.1635245433088092,0.16086228674195185,0.16069322569757413,0.15964934863028182,0.18244034020771813,0.18332844577074503,0.1653184532493831,0.16032918274045196,0.15751387364582106,0.1573583156605369,0.15639842319439545,0.17901858093208584,0.1763309652116101,0.1632645277932808,0.15875866792291826,0.15579371940431921,0.15586790064444733,0.15422208764931064,0.17591536951002607
2015-11-13,0.29501516753823476,0.29745692796142237,0.2993143594274967,0.2970316813937997,0.29838867476844866,0.29876332339728934,0.300748271353629,0.27529084716364877,0.2778981367720623,0.28006228566406743,0.28062241846798835,0.2836072940219231,0.2842094570338389,0.2934338176035507,0.2574997610577667,0.25927404386895153,0.2615618947945904,0.264852327429878,0.26912651374144103,0.2726984933559782,0.28593092266604575,0.24048516663780498,0.24222596171196753,0.24373611391496294,0.2494881395736357,0.25608263216240246,0.2616192366297975,0.2792721425799585,0.21959438689335983,0.2201497281077577,0.21614307313597278,0.2169610439780125,0.21976744808528315,0.22084667940936673,0.2465323762018101,0.21154236778317848,0.19745777272373666,0.18874290542302224,0.1843099359060252,0.18041114767096775,0.17890383973046123,0.2056635017452754,0.20693516422729893,0.18988846488727612,0.18016204638682246,0.17633749233581017,0.17320356366375278,0.17251247075094872,0.20172623539794235,0.20440555427650822,0.1873534434436436,0.17603288596716157,0.17186641060622054,0.16903144501036957,0.1687540802418645,0.19723563704590408,0.19846630097073117,0.18520372230374474,0.17446700286526795,0.16989490857135667,0.16739332213843536,0.16606658342558966,0.19284888577860115
